#,artist_name,city,country,ticket_price,description,date,venue,venue_location,time,image_url
41,Artbat,Kiev,Ukraine,28,Their portfolio builds upon a series of about 10 successful releases that charted globally and conquered numerous dancefloors all over the world. Today Artbat are among the most successful Ukrainian electronic acts and enjoy global recognition.,11.06.2021,Osocor Residence,"Osocor Residence, Vinogradna str",9:00:00 PM,https://www.magneticmag.com/.image/t_share/MTY1MjQ5ODcyMjcyODI3OTc3/img_2059.jpg
42,HOSH,Kiev,Ukraine,28,"A fascinating musical mind, HOSH crafts alluring sound waves that lift crowds with magnetism. Taking any audience on a galactic trip is no easy feat. After a decade of worldwide touring and dedication to the art, he makes it look simple.",11.06.2021,Osocor Residence,"Osocor Residence, Vinogradna str",9:00:00 PM,https://electronicgroove.com/wp-content/uploads/2017/07/HOSH.jpg
43,Christian Löffler,Budapest,Hungary,0,"Christian Löffler is a German techno - and Electronica - musician. Co-founder of the Cologne independent label Ki Records, Christian Löffler has always been driven by a desire to be creative.",02.07.2021,Cinema Hall,"Budapest, Ajtósi Dürer sor 19-21, 1146 Hungary",9:00:00 PM,https://imgproxy.ra.co/_/plain//images/profiles/square/christianloffler.jpg
44,Christian Löffler,Paris,France,52,"Christian Löffler is a German techno - and Electronica - musician. Co-founder of the Cologne independent label Ki Records, Christian Löffler has always been driven by a desire to be creative.",09.07.2021,Salle des concerts,"221 Avenue Jean Jaurès, 75019 Paris, France",8:00:00 PM,https://imgproxy.ra.co/_/plain//images/profiles/square/christianloffler.jpg
45,Christian Löffler,Killyon,Ireland,48,"Christian Löffler is a German techno - and Electronica - musician. Co-founder of the Cologne independent label Ki Records, Christian Löffler has always been driven by a desire to be creative.",13.08.2021,ALS Manor,"Killyon Manor, Hill of Down, Co. Meath, Killyon, Ireland",6:00:00 PM,https://imgproxy.ra.co/_/plain//images/profiles/square/christianloffler.jpg
46,Christian Löffler,Berlin,Germany,44,"Christian Löffler is a German techno - and Electronica - musician. Co-founder of the Cologne independent label Ki Records, Christian Löffler has always been driven by a desire to be creative.",03.09.2021,Marienpark Berlin,"Lankwitzer Str. 45-57, Berlin, Germany",6:30:00 PM,https://imgproxy.ra.co/_/plain//images/profiles/square/christianloffler.jpg
47,Christian Löffler,Amsterdam,Netherlands,47,"Christian Löffler is a German techno - and Electronica - musician. Co-founder of the Cologne independent label Ki Records, Christian Löffler has always been driven by a desire to be creative.",27.09.2021,Melkweg,"Lijnbaansgracht 234A, Amsterdam, Netherlands",7:00:00 PM,https://imgproxy.ra.co/_/plain//images/profiles/square/christianloffler.jpg
48,Christian Löffler,Leeds,United Kingdom,52,"Christian Löffler is a German techno - and Electronica - musician. Co-founder of the Cologne independent label Ki Records, Christian Löffler has always been driven by a desire to be creative.",04.11.2021,Left Bank Leeds,"Cardigan Rd, Leeds, United Kingdom",7:30:00 PM,https://imgproxy.ra.co/_/plain//images/profiles/square/christianloffler.jpg
49,Christian Löffler,Bristol,United Kingdom,52,"Christian Löffler is a German techno - and Electronica - musician. Co-founder of the Cologne independent label Ki Records, Christian Löffler has always been driven by a desire to be creative.",05.11.2021,Trinity Centre,"Trinity Rd, Bristol, United Kingdom",7:00:00 PM,https://imgproxy.ra.co/_/plain//images/profiles/square/christianloffler.jpg
50,Christian Löffler,Barcelona,Spain,24,"Christian Löffler is a German techno - and Electronica - musician. Co-founder of the Cologne independent label Ki Records, Christian Löffler has always been driven by a desire to be creative.",26.11.2021,Razzmatazz,"Almogàvers 122, Barcelona, Spain",9:00:00 PM,https://imgproxy.ra.co/_/plain//images/profiles/square/christianloffler.jpg
51,Christian Löffler,Madrid,Spain,21,"Christian Löffler is a German techno - and Electronica - musician. Co-founder of the Cologne independent label Ki Records, Christian Löffler has always been driven by a desire to be creative.",27.11.2021,Sala MON Live Madrid,"Calle Hilarión Eslava, Madrid, Spain",9:00:00 PM,https://imgproxy.ra.co/_/plain//images/profiles/square/christianloffler.jpg
